name,games,gameStarted,minPlayed,fieldGoals,fieldGoalsAttemp,fieldGoalsPerc,point2_Goals,point2_Attemp,point2_Perc,point3_Goals,point3_Attemp,point3_Perc,freeThrows,freeThrowsAttemp,freeThrowsPerc,offensRebounds,deffensRebounds,draft
Chad Caterson,92.0,0.0,4.9,0.2,0.6,0.278,0.1,0.2,0.318,0.1,0.3,0.25,0.1,0.2,0.467,0.1,0.4,0
Chad Clifford,33.0,5.0,4.1,0.5,1.7,0.309,0.3,0.9,0.355,0.2,0.7,0.25,0.6,0.7,0.826,0.2,0.5,0
Chad Cooke,12.0,0.0,0.8,0.1,0.2,0.5,0.1,0.1,1.0,0.0,0.1,0.0,0.0,0.0,0.667,0.1,0.0,0
Chad Culbreath,23.0,1.0,11.0,1.5,4.0,0.38,1.0,2.1,0.469,0.5,1.9,0.279,0.4,0.8,0.556,0.3,0.9,0
Chad Hartman,28.0,27.0,26.8,3.8,6.7,0.564,3.8,6.5,0.577,0.0,0.2,0.167,1.8,3.3,0.549,2.2,3.5,0
Chad Holley,83.0,56.0,26.6,2.2,6.2,0.348,1.2,3.0,0.381,1.0,3.2,0.316,2.1,2.7,0.781,0.2,1.8,0
Chad Hudson,18.0,0.0,2.8,0.2,0.6,0.3,0.1,0.2,0.5,0.1,0.3,0.167,0.3,0.6,0.545,0.0,0.2,0
Chad McComas,7.0,0.0,1.3,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.667,0.0,0.1,0
Chad McKenzie,56.0,34.0,29.0,3.7,9.5,0.39,3.3,7.5,0.437,0.4,2.0,0.212,1.9,2.7,0.684,1.8,3.9,0
Chad McKnight,99.0,75.0,23.8,3.7,6.3,0.588,3.7,6.3,0.588,0.0,0.0,0.667,2.5,3.6,0.679,1.6,2.9,0
Chad Millard,114.0,15.0,11.8,0.7,1.9,0.39,0.4,0.9,0.495,0.3,1.0,0.299,0.5,0.8,0.621,0.5,1.2,0
Chad Mohn,115.0,76.0,25.1,2.9,7.0,0.416,2.4,5.2,0.466,0.5,1.7,0.269,1.3,1.8,0.749,1.6,3.5,0
Chad Mraz,13.0,0.0,2.5,0.1,0.3,0.25,0.0,0.2,0.0,0.1,0.2,0.5,0.5,0.5,0.857,0.0,0.0,0
Chad Waddell,11.0,0.0,1.1,0.1,0.3,0.333,0.1,0.2,0.5,0.0,0.1,0.0,0.0,0.0,0.667,0.1,0.0,0
Chad White,132.0,62.0,26.1,2.9,6.5,0.457,1.3,2.5,0.534,1.6,4.0,0.409,1.3,1.8,0.727,1.0,2.4,0
Chad Wilson,63.0,21.0,15.3,1.2,3.6,0.333,0.3,1.0,0.367,0.8,2.6,0.321,0.2,0.4,0.577,0.3,0.8,0
Chad Wise,22.0,0.0,3.5,0.5,1.1,0.4,0.4,0.6,0.615,0.1,0.5,0.167,0.1,0.1,1.0,0.1,0.2,0
Chad Wynn,109.0,60.0,15.3,2.1,4.0,0.537,2.1,4.0,0.537,0.0,0.0,0.667,0.9,1.4,0.627,1.2,2.0,0
Chaed Wellian,34.0,2.0,7.8,1.0,1.8,0.55,0.6,0.8,0.731,0.4,1.0,0.412,0.1,0.1,0.75,0.2,1.0,0
Chaisson Allen,125.0,123.0,35.3,4.1,9.9,0.414,2.7,5.9,0.454,1.4,4.0,0.356,2.8,3.8,0.723,1.3,3.9,0
Chakowby Hicks,114.0,74.0,29.4,3.9,9.5,0.412,2.9,6.3,0.459,1.0,3.2,0.318,3.0,4.0,0.751,1.3,3.5,0
Chall Montgomery,11.0,0.0,5.3,0.3,1.2,0.231,0.2,0.4,0.5,0.1,0.8,0.111,0.7,1.0,0.727,0.0,0.6,0
Challe Barton,93.0,27.0,14.4,0.8,2.2,0.376,0.5,1.2,0.444,0.3,1.0,0.299,0.5,0.7,0.774,0.1,0.8,0
Chance Anderson,47.0,2.0,6.7,0.7,1.2,0.552,0.7,1.1,0.604,0.0,0.1,0.0,0.2,0.4,0.5,0.6,1.3,0
Chance Comanche,60.0,2.0,13.5,1.8,3.2,0.556,1.8,3.2,0.556,0.0,0.0,0.667,1.1,1.5,0.722,0.9,2.0,0
Chance Hunter,65.0,62.0,26.9,4.4,10.3,0.43,2.8,6.0,0.468,1.6,4.2,0.377,1.4,2.5,0.561,1.0,4.1,0
Chance McGrady,52.0,1.0,2.3,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,0.667,0.2,0.3,0.529,0.1,0.3,0
Chance McMillian,39.0,3.0,15.3,1.8,4.2,0.421,0.9,1.9,0.467,0.9,2.3,0.382,0.2,0.3,0.818,0.4,1.7,0
Chance McSpadden,55.0,10.0,15.2,1.7,4.1,0.415,1.3,2.6,0.496,0.4,1.5,0.277,1.1,1.5,0.756,0.5,1.6,0
Chance Moore,12.0,1.0,17.9,2.4,8.8,0.274,1.4,5.8,0.246,1.0,3.1,0.324,1.7,2.3,0.714,0.6,1.0,0
Chance Murray,106.0,48.0,20.9,2.4,6.6,0.358,1.7,4.3,0.401,0.6,2.3,0.279,1.7,2.5,0.67,0.4,2.9,0
Chance Williams,6.0,0.0,1.8,0.2,0.2,1.0,0.2,0.2,1.0,0.0,0.0,0.667,0.0,0.2,0.0,0.0,0.3,0
Chancellor Barnard,124.0,76.0,23.4,2.1,3.7,0.565,2.1,3.6,0.58,0.0,0.2,0.211,1.2,2.0,0.577,1.6,2.5,0
Chandler Hash,21.0,1.0,8.4,0.9,2.8,0.305,0.1,0.3,0.333,0.8,2.5,0.302,0.3,0.5,0.636,0.1,0.5,0
Chandler Hutchison,123.0,89.0,24.0,4.3,8.9,0.476,3.6,7.1,0.508,0.6,1.8,0.353,2.9,4.2,0.687,1.1,4.3,1
Chane Behanan,91.0,73.0,25.1,3.7,7.0,0.52,3.6,6.5,0.55,0.1,0.5,0.146,2.0,3.6,0.552,2.9,3.9,0
Channel Banks,63.0,42.0,26.2,2.9,7.0,0.411,1.0,2.2,0.471,1.9,4.8,0.384,1.0,1.5,0.653,0.4,2.4,0
Chanse Creekmur,57.0,17.0,18.5,1.3,3.4,0.376,0.2,0.5,0.538,1.0,2.9,0.351,0.4,0.5,0.75,0.5,1.4,0
Charlendez Brooks,76.0,7.0,8.2,0.4,1.0,0.38,0.4,1.0,0.38,0.0,0.0,0.667,0.2,0.3,0.652,0.4,0.8,0
Charles Abouo,141.0,60.0,17.9,2.1,4.9,0.433,1.5,3.2,0.477,0.6,1.7,0.352,1.6,2.2,0.725,1.3,2.8,0
Charles Almond,41.0,23.0,23.8,1.7,6.0,0.285,0.9,3.4,0.255,0.8,2.6,0.324,0.8,1.3,0.596,0.8,1.8,0
Charles Anderson,113.0,77.0,18.3,2.5,4.1,0.613,2.5,4.1,0.613,0.0,0.0,0.667,1.3,2.3,0.557,1.6,1.7,0
Charles Ashford,39.0,1.0,8.1,0.8,1.8,0.478,0.8,1.6,0.5,0.0,0.1,0.2,0.8,1.2,0.625,0.4,0.7,0
Charles Bain,118.0,81.0,21.3,2.7,7.0,0.386,1.7,3.8,0.459,1.0,3.2,0.301,1.0,1.5,0.65,1.5,2.3,0
Charles Baker,50.0,45.0,29.2,1.9,4.6,0.418,1.0,2.0,0.505,0.9,2.6,0.351,0.6,0.8,0.683,0.6,1.8,0
Charles Bargman,19.0,6.0,10.1,0.3,1.7,0.188,0.0,0.8,0.0,0.3,0.9,0.353,0.2,0.3,0.667,0.4,0.7,0
Charles Bass,43.0,17.0,13.4,1.6,3.0,0.543,1.6,3.0,0.547,0.0,0.0,0.0,0.5,1.3,0.351,1.1,2.0,0
Charles Bassey,72.0,72.0,30.5,6.1,10.2,0.596,5.7,9.0,0.636,0.4,1.3,0.319,3.3,4.3,0.768,3.0,7.5,0
Charles Bediako,14.0,14.0,19.4,2.9,4.4,0.672,2.9,4.3,0.683,0.0,0.1,0.0,1.3,2.4,0.529,2.1,2.5,0
Charles Belton,31.0,0.0,10.4,0.7,1.5,0.458,0.7,1.5,0.458,0.0,0.0,0.667,0.2,0.5,0.5,0.5,0.9,0
Charles Bennett,30.0,6.0,22.9,2.5,6.3,0.389,1.1,2.4,0.458,1.4,3.9,0.347,1.7,2.1,0.781,0.4,2.1,0
Charles Bentley,34.0,3.0,1.6,0.1,0.4,0.267,0.0,0.1,0.2,0.1,0.3,0.3,0.2,0.3,0.545,0.1,0.1,0
Charles Bohannon,52.0,4.0,5.6,0.4,1.2,0.377,0.3,0.5,0.52,0.2,0.7,0.278,0.2,0.3,0.706,0.1,0.5,0
Charles Boozer,54.0,0.0,8.3,0.8,2.2,0.364,0.4,0.8,0.511,0.4,1.4,0.274,0.6,0.9,0.647,0.5,0.9,0
Charles Bouie,13.0,0.0,6.3,1.0,1.9,0.52,0.9,1.5,0.6,0.1,0.4,0.2,0.2,0.5,0.5,0.3,0.6,0
Charles Bronson,16.0,0.0,4.3,0.8,1.3,0.571,0.8,1.3,0.571,0.0,0.0,0.667,0.6,0.8,0.75,0.4,0.6,0
Charles Brown,117.0,80.0,24.9,3.2,8.5,0.378,2.2,5.3,0.418,1.0,3.2,0.313,1.7,2.0,0.837,0.5,2.2,0
Charles Brown III,55.0,49.0,26.0,4.5,8.8,0.507,3.7,6.8,0.539,0.8,2.0,0.4,2.4,2.8,0.833,1.0,2.9,0
Charles Buggs,101.0,30.0,14.2,1.4,2.8,0.481,0.9,1.4,0.604,0.5,1.4,0.357,0.4,0.6,0.651,0.6,1.5,0
Charles Burley,63.0,18.0,16.1,0.4,1.3,0.28,0.3,0.9,0.288,0.1,0.4,0.261,0.8,1.2,0.671,0.5,1.4,0
Charles Burns,15.0,0.0,1.1,0.1,0.3,0.25,0.0,0.0,0.667,0.1,0.3,0.25,0.0,0.1,0.0,0.0,0.0,0
Charles Callison,58.0,47.0,26.1,3.3,7.8,0.426,2.2,4.8,0.456,1.1,3.0,0.379,1.0,1.4,0.75,0.2,1.4,0
Charles Campbell,22.0,0.0,6.6,0.4,1.5,0.242,0.3,1.5,0.219,0.0,0.0,1.0,0.1,0.3,0.286,0.6,0.6,0
Charles Carmouche,122.0,97.0,25.9,2.7,6.8,0.402,1.7,3.9,0.433,1.0,2.9,0.361,2.1,3.2,0.646,0.7,2.9,0
Charles Carrington,11.0,0.0,2.6,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.667,0.2,0.2,1.0,0.3,0.3,0
Charles Clark,67.0,20.0,12.5,1.5,3.6,0.429,1.2,2.7,0.461,0.3,0.9,0.328,0.7,1.7,0.402,1.1,1.5,0
Charles Coleman,49.0,21.0,12.9,0.9,2.3,0.407,0.9,2.1,0.429,0.0,0.2,0.125,0.4,1.0,0.417,0.8,1.8,0
Charles Cook,110.0,45.0,22.1,3.2,8.7,0.366,1.3,3.1,0.402,1.9,5.6,0.346,0.7,1.0,0.682,0.4,1.8,0
Charles Cooke,123.0,97.0,30.3,4.1,9.5,0.434,2.8,5.9,0.475,1.3,3.5,0.365,3.2,4.6,0.702,1.1,3.5,0
Charles Cooper,67.0,48.0,26.5,4.4,10.0,0.445,4.2,8.8,0.482,0.2,1.2,0.183,4.5,6.7,0.676,1.4,3.9,0
Charles Corbin,115.0,64.0,22.7,3.3,7.6,0.433,3.2,7.2,0.445,0.1,0.4,0.24,1.6,2.5,0.643,2.2,3.4,0
Charles Hankerson Jr.,117.0,40.0,17.7,1.6,4.1,0.377,0.9,2.1,0.42,0.7,2.1,0.333,0.8,1.4,0.578,0.3,1.6,0
Charles Harper,6.0,0.0,6.3,0.8,2.0,0.417,0.3,0.5,0.667,0.5,1.5,0.333,0.0,0.0,0.667,0.0,0.2,0
Charles Harris,24.0,0.0,4.4,0.8,1.7,0.5,0.7,1.2,0.586,0.1,0.5,0.273,0.2,0.4,0.4,0.3,0.6,0
Charles Henderson Jr,9.0,1.0,9.2,0.7,2.1,0.316,0.3,1.2,0.273,0.3,0.9,0.375,0.3,0.7,0.5,0.6,0.6,0
Charles Henson,86.0,39.0,19.8,2.5,5.0,0.506,2.4,4.6,0.52,0.1,0.4,0.333,1.0,1.6,0.597,1.4,2.9,0
Charles Hill Jr.,52.0,9.0,15.3,1.5,4.6,0.326,1.0,2.8,0.352,0.5,1.8,0.287,0.7,1.1,0.614,0.5,1.4,0
Charles Hinkle,90.0,31.0,18.4,2.6,6.5,0.394,1.3,3.2,0.416,1.2,3.3,0.372,2.1,2.5,0.827,0.6,2.2,0
Charles Holt,26.0,0.0,2.2,0.2,0.6,0.267,0.0,0.2,0.167,0.1,0.3,0.333,0.2,0.3,0.625,0.1,0.2,0
Charles Madison,34.0,6.0,5.4,2.7,7.1,0.376,0.8,2.2,0.378,1.9,4.9,0.375,0.7,0.8,0.852,0.1,0.7,0
Charles Makings,45.0,0.0,2.9,0.2,0.3,0.533,0.2,0.3,0.533,0.0,0.0,0.667,0.1,0.2,0.429,0.3,0.3,0
Charles Mann,132.0,105.0,27.6,2.8,7.0,0.395,2.3,5.6,0.412,0.5,1.5,0.328,4.7,6.8,0.691,0.6,3.5,0
Charles Manning Jr.,40.0,18.0,24.9,4.1,8.8,0.465,3.4,6.5,0.523,0.7,2.3,0.301,2.0,2.6,0.769,0.7,2.9,0
Charles Matthews,111.0,78.0,24.1,3.4,7.4,0.464,2.9,5.5,0.517,0.6,1.9,0.308,1.6,2.8,0.576,1.2,2.9,0
Charles McGhee,87.0,5.0,9.4,1.1,2.9,0.367,0.9,2.2,0.394,0.2,0.7,0.276,0.4,0.7,0.632,0.6,1.1,0
Charles McKinney,89.0,49.0,18.1,1.7,3.5,0.498,1.6,2.9,0.552,0.1,0.6,0.231,0.9,1.5,0.571,0.9,1.3,0
Charles McRoy,127.0,51.0,17.7,1.8,4.4,0.409,1.4,3.0,0.475,0.4,1.5,0.277,1.1,1.6,0.695,1.0,1.8,0
Charles Mendys,13.0,0.0,1.5,0.0,0.2,0.0,0.0,0.0,0.667,0.0,0.2,0.0,0.2,0.3,0.5,0.0,0.2,0
Charles Minlend,105.0,80.0,25.5,4.3,10.4,0.415,2.9,6.1,0.482,1.4,4.3,0.318,2.2,3.4,0.648,1.1,2.5,0
Charles Mitchell,137.0,68.0,20.3,3.4,6.5,0.517,3.4,6.5,0.517,0.0,0.0,0.667,1.2,2.2,0.54,3.0,4.1,0
Charles Moore,29.0,4.0,10.5,0.7,1.8,0.412,0.6,1.4,0.429,0.1,0.3,0.333,0.6,0.8,0.696,1.2,1.6,0
Charles Waters,56.0,23.0,13.3,1.5,3.3,0.451,1.5,3.2,0.458,0.0,0.1,0.0,0.8,1.1,0.738,1.2,2.4,0
Charles Webb,13.0,0.0,2.0,0.2,0.8,0.2,0.2,0.8,0.2,0.0,0.0,0.667,0.2,0.3,0.5,0.2,0.1,0
Charles White,55.0,15.0,11.2,1.0,2.4,0.409,0.9,2.1,0.448,0.0,0.3,0.125,0.4,0.7,0.55,0.6,0.6,0
Charles Williams,133.0,122.0,32.7,6.4,15.1,0.426,4.6,9.8,0.463,1.9,5.2,0.357,3.4,4.4,0.766,0.8,2.4,0
Charles Wilson-Fisher,114.0,24.0,13.8,1.9,3.6,0.511,1.8,3.3,0.54,0.1,0.3,0.231,0.7,1.1,0.683,1.4,2.4,0
Charles Winborne,35.0,21.0,21.5,3.2,7.1,0.452,1.6,3.4,0.466,1.7,3.8,0.439,0.9,1.3,0.727,0.3,1.5,0
Charles Woodruff,105.0,72.0,32.8,3.2,6.0,0.542,3.2,6.0,0.542,0.0,0.0,0.667,2.4,3.5,0.694,2.0,3.0,0
Charlie Anastasi,15.0,1.0,2.0,0.1,0.3,0.2,0.1,0.3,0.2,0.0,0.0,0.667,0.1,0.1,1.0,0.3,0.3,0
Charlie Bagin,35.0,0.0,2.8,0.2,0.5,0.333,0.1,0.2,0.375,0.1,0.3,0.3,0.1,0.1,0.8,0.2,0.1,0
Charlie Brown,63.0,61.0,34.9,5.3,13.0,0.407,3.2,7.3,0.436,2.1,5.7,0.37,3.2,3.9,0.836,1.6,4.0,0
Charlie Burch,97.0,28.0,14.3,0.9,2.6,0.359,0.6,1.5,0.38,0.4,1.1,0.33,0.5,0.7,0.725,0.8,1.1,0
Charlie Burgess,63.0,47.0,26.6,2.6,6.1,0.424,1.9,4.2,0.464,0.6,1.9,0.336,1.6,2.3,0.688,0.9,2.4,0
Charlie Byers,30.0,0.0,5.9,0.5,1.1,0.412,0.4,1.0,0.419,0.0,0.1,0.333,0.1,0.1,0.5,0.3,0.3,0
Charlie Coley,65.0,60.0,28.4,3.5,7.2,0.489,3.5,6.9,0.509,0.0,0.3,0.05,1.7,3.0,0.573,2.3,4.2,0
Charlie Copp,99.0,32.0,16.8,1.0,2.9,0.331,0.2,0.6,0.387,0.7,2.3,0.316,0.4,0.6,0.721,0.2,1.1,0
Charlie Hall,21.0,1.0,1.7,0.0,0.2,0.0,0.0,0.0,0.667,0.0,0.2,0.0,0.0,0.1,0.333,0.0,0.2,0
Charlie Harper,106.0,63.0,22.7,2.8,6.8,0.412,2.7,6.2,0.429,0.1,0.6,0.23,1.8,2.7,0.678,1.8,3.7,0
Charlie Henderson,5.0,0.0,2.0,0.2,0.8,0.25,0.0,0.6,0.0,0.2,0.2,1.0,0.0,0.0,0.667,0.2,0.0,0
Charlie McDonald,21.0,9.0,9.1,0.3,1.4,0.207,0.0,0.4,0.111,0.2,1.0,0.25,0.3,0.5,0.7,0.0,0.9,0
Charlie Moore,134.0,99.0,27.1,3.7,9.6,0.387,2.4,5.7,0.421,1.3,3.9,0.337,2.1,2.7,0.773,0.4,2.0,0
Charlie Weber,51.0,4.0,10.1,1.2,2.4,0.496,0.9,1.6,0.58,0.3,0.8,0.333,0.6,0.8,0.75,0.8,1.3,0
Charlie Westbrook,58.0,57.0,30.4,6.4,13.5,0.472,5.4,10.7,0.506,1.0,2.8,0.345,3.7,5.0,0.726,0.9,3.4,0
Charlie White,61.0,38.0,24.0,3.0,6.9,0.428,2.7,5.8,0.463,0.3,1.1,0.246,2.0,3.0,0.654,0.8,2.5,0
Charlie Woods,53.0,2.0,9.8,0.8,2.2,0.351,0.3,0.8,0.381,0.5,1.4,0.333,0.3,0.4,0.7,0.5,1.3,0
Charonn Woods,41.0,4.0,6.7,0.2,0.7,0.241,0.1,0.3,0.357,0.0,0.4,0.133,0.3,0.4,0.688,0.1,0.4,0
Charoy Bentley,96.0,4.0,8.8,0.7,2.0,0.335,0.4,0.9,0.412,0.3,1.1,0.274,0.2,0.4,0.5,0.1,0.6,0
Charus Moore,55.0,3.0,8.2,0.7,1.5,0.463,0.7,1.5,0.463,0.0,0.0,0.667,0.4,0.6,0.629,0.6,0.7,0
Chas Brown,45.0,45.0,20.8,2.9,5.9,0.494,2.9,5.8,0.494,0.0,0.1,0.5,1.5,3.1,0.5,2.3,3.1,0
Chas McFarland,107.0,81.0,19.8,2.5,5.2,0.482,2.5,5.0,0.493,0.0,0.2,0.158,2.0,3.1,0.653,2.1,3.5,0
Chase Adams,19.0,0.0,5.7,0.5,1.6,0.333,0.2,0.3,0.6,0.4,1.3,0.28,0.1,0.1,1.0,0.1,0.6,0
Chase Audige,60.0,48.0,28.4,4.0,9.4,0.426,2.7,5.4,0.495,1.4,4.0,0.335,1.4,2.2,0.636,1.0,3.0,0
Chase Barrs,58.0,2.0,11.8,0.8,1.8,0.442,0.8,1.8,0.451,0.0,0.0,0.0,0.6,1.0,0.603,0.7,1.8,0
Chase Berry,4.0,0.0,3.5,0.8,1.3,0.6,0.8,1.0,0.75,0.0,0.3,0.0,0.0,0.3,0.0,0.5,0.8,0
Chase Brogna,17.0,1.0,8.2,0.3,1.5,0.192,0.1,0.2,0.25,0.2,1.3,0.182,0.1,0.1,0.5,0.2,0.1,0
Chase Budinger,100.0,100.0,35.4,6.0,12.8,0.469,4.1,7.8,0.524,1.9,5.0,0.383,3.1,4.0,0.782,1.4,4.4,0
Chase Buford,35.0,0.0,1.7,0.1,0.5,0.25,0.1,0.3,0.444,0.0,0.2,0.0,0.1,0.2,0.571,0.2,0.3,0
Chase Cannon,24.0,0.0,1.3,0.1,0.6,0.214,0.1,0.3,0.333,0.0,0.3,0.125,0.0,0.1,0.0,0.2,0.1,0
Chase Carlton,12.0,0.0,7.8,0.1,0.4,0.2,0.1,0.2,0.5,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0
Chase Claxton,68.0,17.0,20.0,2.1,3.2,0.641,2.0,2.9,0.697,0.0,0.3,0.136,1.5,2.6,0.571,1.7,2.2,0
Chase Cobb,26.0,2.0,4.1,0.4,1.1,0.393,0.2,0.3,0.625,0.2,0.8,0.3,0.1,0.2,0.6,0.1,0.2,0
Chase Coleman,25.0,0.0,4.0,0.3,0.8,0.333,0.2,0.5,0.417,0.1,0.4,0.222,0.0,0.0,0.667,0.0,0.4,0
Chase Connor,35.0,0.0,5.0,0.6,1.7,0.362,0.1,0.1,0.667,0.5,1.6,0.345,0.0,0.0,0.667,0.0,0.2,0
Chase Cormier,106.0,85.0,23.3,0.9,3.3,0.269,0.6,2.1,0.271,0.3,1.1,0.264,1.3,2.2,0.574,0.5,1.6,0
Chase Courtney,12.0,1.0,8.9,0.4,2.1,0.2,0.4,2.1,0.2,0.0,0.0,0.667,0.4,0.8,0.556,0.7,0.9,0
Chase Hallam,122.0,121.0,31.6,3.5,7.5,0.469,2.2,4.4,0.502,1.3,3.1,0.424,1.6,2.2,0.713,1.0,3.0,0
Chase Harler,116.0,20.0,14.9,1.3,3.4,0.368,0.6,1.3,0.468,0.6,2.1,0.306,0.3,0.5,0.627,0.3,0.6,0
Chase Holmes,60.0,31.0,25.6,4.1,9.6,0.429,3.4,6.8,0.509,0.7,2.8,0.237,1.9,2.9,0.669,1.0,2.8,0
Chase Hunter,50.0,8.0,15.6,1.3,3.8,0.349,1.0,2.3,0.431,0.3,1.5,0.224,0.5,0.8,0.692,0.3,1.0,0
Chase Maasdorp,19.0,0.0,1.7,0.1,0.4,0.286,0.1,0.3,0.2,0.1,0.1,0.5,0.1,0.3,0.2,0.1,0.1,0
Chase Martin,9.0,0.0,2.2,0.1,0.7,0.167,0.1,0.6,0.2,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0
Chase McKey,9.0,1.0,12.0,1.3,2.1,0.632,1.3,2.1,0.632,0.0,0.0,0.667,0.3,1.0,0.333,0.7,2.0,0
Chase Miller,33.0,1.0,1.5,0.1,0.7,0.136,0.0,0.1,0.0,0.1,0.5,0.167,0.0,0.1,0.0,0.0,0.1,0
Chase Winchester,12.0,0.0,5.9,0.6,1.6,0.368,0.3,0.8,0.444,0.3,0.8,0.3,1.2,1.4,0.824,0.3,0.7,0
Chasen Campbell,28.0,0.0,6.5,0.6,2.3,0.281,0.3,1.3,0.25,0.3,1.0,0.321,0.3,0.4,0.636,0.3,0.6,0
Chasen Wiilliamson,18.0,0.0,5.9,0.3,1.3,0.25,0.3,0.8,0.333,0.1,0.5,0.111,0.4,0.7,0.615,0.4,0.2,0
Chass Bryan,74.0,3.0,9.0,0.5,1.4,0.324,0.4,1.1,0.338,0.1,0.3,0.28,0.4,0.7,0.531,0.1,0.6,0
Chaun Brooks,88.0,83.0,27.7,2.9,6.3,0.461,2.5,4.9,0.501,0.4,1.3,0.314,1.9,2.5,0.776,1.0,2.4,0
Chauncey Bryant,86.0,68.0,28.8,1.5,3.5,0.421,0.9,2.0,0.449,0.6,1.5,0.383,1.5,2.3,0.665,0.4,1.9,0
Chauncey Collins,58.0,24.0,21.3,2.2,6.1,0.368,0.8,2.1,0.379,1.4,3.9,0.362,2.4,3.1,0.772,0.4,1.6,0
Chauncey Hardy,113.0,79.0,27.3,3.9,8.6,0.457,2.4,4.9,0.493,1.5,3.8,0.41,1.6,2.0,0.819,0.7,1.6,0
Chauncey Hawkins,108.0,47.0,26.2,3.7,9.5,0.386,2.7,6.2,0.435,1.0,3.3,0.294,3.3,4.3,0.778,0.4,2.0,0
Chaundee Brown,112.0,74.0,24.6,3.6,8.2,0.435,2.4,4.9,0.49,1.1,3.3,0.352,1.6,1.9,0.812,1.2,3.0,0
Chavis Holmes,119.0,87.0,28.7,5.6,12.7,0.44,3.0,6.0,0.501,2.6,6.7,0.385,3.6,4.7,0.767,1.4,2.3,0
Chaylyn Martin,12.0,0.0,13.1,1.0,2.8,0.364,0.9,2.2,0.423,0.1,0.6,0.143,0.8,1.5,0.556,1.2,2.4,0
Chaz Briggs,57.0,9.0,17.4,2.8,4.4,0.637,2.8,4.3,0.642,0.0,0.0,0.0,0.8,1.4,0.531,1.8,2.5,0
Chaz Carr,120.0,94.0,30.0,3.9,9.9,0.396,2.4,5.8,0.423,1.5,4.1,0.357,2.4,3.2,0.757,0.6,2.0,0
Chaz Crawford,120.0,68.0,23.8,2.1,4.1,0.521,2.1,4.1,0.522,0.0,0.0,0.0,1.1,2.2,0.515,2.8,4.0,0
Chaz Mack,20.0,0.0,3.3,0.3,0.8,0.313,0.2,0.5,0.333,0.1,0.4,0.286,0.4,0.6,0.636,0.0,0.7,0
Chaz McCrommon,115.0,85.0,32.9,5.5,11.3,0.483,4.6,9.0,0.513,0.8,2.3,0.365,2.4,3.4,0.696,2.0,3.1,0
Chaz Williams,136.0,122.0,34.3,4.7,11.5,0.407,3.2,7.6,0.422,1.4,3.8,0.376,3.8,4.9,0.771,0.9,3.0,0
Che Bob,48.0,30.0,22.9,3.2,7.1,0.448,2.6,5.4,0.49,0.5,1.7,0.313,2.6,3.8,0.679,1.6,3.9,0
Cheddi Mosely,88.0,50.0,23.6,3.1,7.8,0.402,1.3,2.5,0.513,1.8,5.2,0.347,1.3,1.7,0.752,0.3,1.8,0
Cheikh Mbacke Diong,129.0,90.0,21.9,2.6,4.4,0.578,2.6,4.3,0.59,0.0,0.1,0.077,1.3,2.1,0.6,2.3,3.8,0
Cheikh Mbodji,62.0,33.0,15.9,1.3,2.9,0.439,1.3,2.9,0.441,0.0,0.0,0.333,1.0,1.6,0.629,1.6,1.9,0
Cheo White,16.0,2.0,11.0,0.8,2.4,0.333,0.4,1.1,0.389,0.4,1.3,0.286,0.3,0.6,0.5,0.1,0.8,0
Chet Holmgren,16.0,16.0,24.9,4.8,7.9,0.611,3.8,5.1,0.732,1.1,2.8,0.386,2.4,3.4,0.722,1.9,6.6,0
Chet Mason,118.0,117.0,33.0,4.0,9.5,0.418,3.6,7.6,0.47,0.4,1.9,0.212,2.1,3.5,0.592,2.1,4.7,0
Chevalier Harris,15.0,9.0,0.667,0.3,0.5,0.5,0.2,0.4,0.5,0.1,0.1,0.5,0.4,0.7,0.6,0.0,0.0,0
Chevis Brimmer,42.0,4.0,11.3,1.5,4.2,0.364,0.9,2.1,0.432,0.6,2.1,0.295,0.9,1.5,0.623,0.5,0.9,0
Chey Christie,117.0,85.0,24.1,3.1,7.5,0.413,2.4,4.9,0.478,0.7,2.6,0.287,1.7,2.6,0.669,1.0,1.7,0
Cheyenne Moore,71.0,23.0,17.3,1.9,5.3,0.363,1.0,2.2,0.428,1.0,3.1,0.317,0.9,1.1,0.802,0.7,1.5,0
Chez Marks,87.0,47.0,22.2,4.9,9.2,0.534,2.8,4.4,0.634,2.1,4.8,0.441,1.7,2.1,0.801,0.6,1.4,0
Chibuzo Agbo,31.0,0.0,7.5,0.8,2.0,0.393,0.5,0.8,0.583,0.3,1.2,0.27,0.2,0.5,0.429,0.5,0.5,0
Chico Carter Jr.,60.0,12.0,19.4,3.3,6.7,0.488,2.1,4.1,0.518,1.1,2.6,0.439,1.4,1.6,0.857,0.1,1.3,0
Chico Horton,16.0,10.0,15.6,2.1,4.9,0.43,0.1,0.2,0.667,1.6,1.0,0.6,0.0,1.1,0.667,4.4,0.0,0
Chidi Ajufo,14.0,0.0,5.1,0.6,1.0,0.571,0.6,1.0,0.571,0.0,0.0,0.667,0.1,0.4,0.2,0.4,0.6,0
