name,games,gameStarted,minPlayed,fieldGoals,fieldGoalsAttemp,fieldGoalsPerc,point2_Goals,point2_Attemp,point2_Perc,point3_Goals,point3_Attemp,point3_Perc,freeThrows,freeThrowsAttemp,freeThrowsPerc,offensRebounds,deffensRebounds,draft
Adefolarin Adetogun,20.0,13.0,18.0,1.4,4.3,0.314,1.1,2.3,0.457,0.3,2.0,0.15,1.5,1.8,0.806,0.7,2.0,0
Ademide Badmus,8.0,0.0,13.1,1.4,2.8,0.5,1.4,2.8,0.5,0.0,0.0,0.667,0.6,1.5,0.417,1.5,1.8,0
Adenilson Clementino,52.0,28.0,17.1,0.8,2.0,0.396,0.8,2.0,0.4,0.0,0.0,0.0,0.9,2.0,0.447,1.5,2.0,0
Adetokunbo Bakare,11.0,0.0,6.4,0.7,2.5,0.296,0.4,0.8,0.444,0.4,1.6,0.222,0.1,0.2,0.5,0.1,0.9,0
Adetunji Adedipe,63.0,3.0,3.5,0.3,0.5,0.613,0.3,0.5,0.613,0.0,0.0,0.667,0.0,0.3,0.188,0.4,0.5,0
Adhar Mayen,85.0,37.0,18.0,1.8,4.3,0.412,1.3,2.6,0.484,0.5,1.7,0.301,0.5,0.8,0.719,0.7,1.4,0
Adjehi Baru,128.0,125.0,28.2,3.1,6.2,0.493,3.1,6.2,0.493,0.0,0.0,0.667,2.4,4.1,0.591,2.5,4.7,0
Admassu Williams,38.0,35.0,23.8,3.5,7.1,0.5,3.5,7.1,0.5,0.0,0.0,0.667,2.5,3.9,0.633,2.1,3.7,0
Admir Besovic,56.0,5.0,7.3,0.8,1.7,0.454,0.8,1.7,0.458,0.0,0.0,0.0,0.3,0.4,0.68,0.5,0.6,0
Adnan Hodzic,121.0,105.0,26.9,6.6,11.3,0.586,6.6,11.2,0.589,0.0,0.1,0.125,3.3,4.8,0.7,2.4,4.5,0
Adolphe Coulibaly,25.0,11.0,12.6,0.8,2.7,0.313,0.6,1.3,0.424,0.3,1.4,0.206,0.4,0.6,0.688,0.3,1.2,0
Adong Makuoi,29.0,22.0,15.3,1.7,3.3,0.515,1.7,3.3,0.515,0.0,0.0,0.667,0.7,1.2,0.528,1.3,1.4,0
Adonis Arms,36.0,5.0,19.2,3.2,7.4,0.434,2.1,4.2,0.49,1.2,3.2,0.362,2.1,3.0,0.701,0.9,3.4,0
Adonis Burbage,120.0,68.0,24.1,2.7,6.7,0.394,1.0,2.4,0.433,1.6,4.4,0.372,0.7,1.0,0.718,0.8,1.9,0
Adonys Henriquez,56.0,56.0,33.5,3.4,8.4,0.412,1.4,3.0,0.473,2.0,5.4,0.377,1.5,2.1,0.733,0.7,2.5,0
Ador Athuai,26.0,1.0,4.3,0.3,0.5,0.571,0.3,0.5,0.571,0.0,0.0,0.667,0.5,0.7,0.667,0.3,0.8,0
